CATEGORIES,Price_Type,Value_Type,MonthNum,Year,Month_Name,Date,Sales_R_Millions
General dealers,At constant prices,Actual values,1,2008,January,2008-01-01,29464
General dealers,At constant prices,Actual values,2,2008,February,2008-02-01,29831
General dealers,At constant prices,Actual values,3,2008,March,2008-03-01,32938
General dealers,At constant prices,Actual values,4,2008,April,2008-04-01,30471
General dealers,At constant prices,Actual values,5,2008,May,2008-05-01,31010
General dealers,At constant prices,Actual values,6,2008,June,2008-06-01,32110
General dealers,At constant prices,Actual values,7,2008,July,2008-07-01,29478
General dealers,At constant prices,Actual values,8,2008,August,2008-08-01,30202
General dealers,At constant prices,Actual values,9,2008,September,2008-09-01,31684
General dealers,At constant prices,Actual values,10,2008,October,2008-10-01,30886
General dealers,At constant prices,Actual values,11,2008,November,2008-11-01,31864
General dealers,At constant prices,Actual values,12,2008,December,2008-12-01,43092
General dealers,At constant prices,Actual values,1,2009,January,2009-01-01,30152
General dealers,At constant prices,Actual values,2,2009,February,2009-02-01,29478
General dealers,At constant prices,Actual values,3,2009,March,2009-03-01,32018
General dealers,At constant prices,Actual values,4,2009,April,2009-04-01,29750
General dealers,At constant prices,Actual values,5,2009,May,2009-05-01,30170
General dealers,At constant prices,Actual values,6,2009,June,2009-06-01,30818
General dealers,At constant prices,Actual values,7,2009,July,2009-07-01,30130
General dealers,At constant prices,Actual values,8,2009,August,2009-08-01,30452
General dealers,At constant prices,Actual values,9,2009,September,2009-09-01,32048
General dealers,At constant prices,Actual values,10,2009,October,2009-10-01,30974
General dealers,At constant prices,Actual values,11,2009,November,2009-11-01,32369
General dealers,At constant prices,Actual values,12,2009,December,2009-12-01,43687
General dealers,At constant prices,Actual values,1,2010,January,2010-01-01,30588
General dealers,At constant prices,Actual values,2,2010,February,2010-02-01,30509
General dealers,At constant prices,Actual values,3,2010,March,2010-03-01,33036
General dealers,At constant prices,Actual values,4,2010,April,2010-04-01,31123
General dealers,At constant prices,Actual values,5,2010,May,2010-05-01,31810
General dealers,At constant prices,Actual values,6,2010,June,2010-06-01,34021
General dealers,At constant prices,Actual values,7,2010,July,2010-07-01,33600
